date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:21:50	1052/1052	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:50%20GMT	https://cleaner.gq/Aa.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Aa.html	(from https://cleaner.gq/games)
18:21:51	2134/2134	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:21:51%20GMT	https://cleaner.gq/aa	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/aa.html	(from https://cleaner.gq/games)
18:21:51	1980/1980	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:51%20GMT	https://cleaner.gq/cookieclicker	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/cookieclicker	(from https://cleaner.gq/games)
18:21:52	4704/4704	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:21:51%20GMT	https://cleaner.gq/cookieclicker/	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/cookieclicker/index.html	(from https://cleaner.gq/games)
18:21:52	1041/1041	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:21:52%20GMT	https://cleaner.gq/textbooks	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/textbooks.html	(from https://cleaner.gq/games)
18:21:53	1118/1118	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:53%20GMT	https://cleaner.gq/Cc.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Cc.32.delayed	(from https://cleaner.gq/games)
18:21:53	2372/2372	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:21:53%20GMT	https://cleaner.gq/cc	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/cc.html	(from https://cleaner.gq/games)
18:21:54	566212/566212	---M--	200	added ('OK')	image/jpeg	etag:%22ed4eaf4282795e0c32759f51f7bb081d-ssl%22	https://cleaner.gq/arcade.jpg	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/arcade.jpg	(from https://cleaner.gq/games)
18:21:54	13861/13861	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:21:54%20GMT	https://cleaner.gq/tower_game-master/	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/tower_game-master/index.html	(from https://cleaner.gq/games)
18:21:54	1259/1259	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:54%20GMT	https://cleaner.gq/Index.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Index-2.html	(from https://cleaner.gq/bookmarklets)
18:21:55	1259/1259	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:55%20GMT	https://cleaner.gq/Index.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Index-2.html	(from https://cleaner.gq/bookmarklets)
18:21:56	1563/1563	---M-Z	200	added ('OK')	text/plain	etag:%22f25cc1597e7daa3ce01b8297c9d8c8b8-ssl-df%22	https://cleaner.gq/gdrive.txt	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/gdrive.txt	(from https://cleaner.gq/bookmarklets)
18:21:56	606/606	---MCZ	200	added ('OK')	text/plain	etag:W/%22b5e7fff4c975da519c9faeeb93678aa6-ssl%22	https://cleaner.gq/inspect.txt	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/inspect.txt	(from https://cleaner.gq/bookmarklets)
18:21:57	1233/1233	---M-Z	200	added ('OK')	text/plain	etag:%2258f21317d527c0b150b70bb764b8ce1d-ssl-df%22	https://cleaner.gq/portaprox.txt	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/portaprox.txt	(from https://cleaner.gq/bookmarklets)
18:21:57	1259/1259	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:57%20GMT	https://cleaner.gq/Index.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Index-2.html	(from https://cleaner.gq/tos)
18:21:58	1259/1259	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:58%20GMT	https://cleaner.gq/Index.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Index-2.html	(from https://cleaner.gq/pp)
18:21:58	1589/1589	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Nov%202020%2000:21:58%20GMT	https://cleaner.gq/%22https://www.privacypolicygenerator.info/%22	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/_https_/www.privacypolicygenerator.info/_	(from https://cleaner.gq/pp)
18:21:58	1589/1589	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Nov%202020%2000:21:58%20GMT	https://cleaner.gq/%22https://www.privacypolicytemplate.net//%22	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/_https_/www.privacypolicytemplate.net/_	(from https://cleaner.gq/pp)
18:21:59	1259/1259	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:59%20GMT	https://cleaner.gq/Index.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Index-2.html	(from https://cleaner.gq/webhook)
18:21:59	1259/1259	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:21:59%20GMT	https://cleaner.gq/Index.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Index-2.html	(from https://cleaner.gq/chatbox)
18:22:00	1259/1259	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:22:00%20GMT	https://cleaner.gq/Index.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Index-2.html	(from https://cleaner.gq/sel1)
18:22:01	160039/160039	---M--	200	added ('OK')	image/jpeg	etag:%22db022651919c4bc7f842b3dccb5132c7-ssl%22	https://cleaner.gq/prox.jpg	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/prox.jpg	(from https://cleaner.gq/sel1)
18:22:01	1259/1259	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:22:00%20GMT	https://cleaner.gq/Index.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Index-2.html	(from https://cleaner.gq/sel2)
18:22:01	1259/1259	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:22:01%20GMT	https://cleaner.gq/Index.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Index-2.html	(from https://cleaner.gq/sel0)
18:22:01	1259/1259	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:22:01%20GMT	https://cleaner.gq/Index.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Index-2.html	(from https://cleaner.gq/gordon)
18:22:02	1259/1259	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:22:02%20GMT	https://cleaner.gq/Index.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Index-2.html	(from https://cleaner.gq/aa)
18:22:02	14498/14498	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:22:02%20GMT	https://cleaner.gq/sm64/	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/sm64/index.html	(from https://cleaner.gq/gordon)
18:22:03	14477/14477	---MCZ	200	added ('OK')	text/html	date:Thu,%2019%20Nov%202020%2000:22:02%20GMT	https://cleaner.gq/msm64/	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/msm64/index.html	(from https://cleaner.gq/gordon)
18:22:03	1589/1589	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Nov%202020%2000:22:02%20GMT	https://cleaner.gq/cookieclicker/img/favicon.ico	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/cookieclicker/img/favicon.ico	(from https://cleaner.gq/cookieclicker/)
18:22:04	15682/15682	---M-Z	200	added ('OK')	text/css	etag:%220c6258f7c0dd0a267f338aa6e99a18a1-ssl-df%22	https://cleaner.gq/cookieclicker/style.css?v=1.5028	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/cookieclicker/style7682.css	(from https://cleaner.gq/cookieclicker/)
18:22:05	3002/3002	---M-Z	200	added ('OK')	application/javascript	etag:%22b6172f0e33e42b3c82d9972b741f5754-ssl-df%22	https://cleaner.gq/cookieclicker/base64.js	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/cookieclicker/base64.js	(from https://cleaner.gq/cookieclicker/)
18:22:06	494/494	---MCZ	200	added ('OK')	application/javascript	etag:W/%221079928d9a7bfb204dc9471ad680933c-ssl%22	https://cleaner.gq/cookieclicker/ajax.js	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/cookieclicker/ajax.js	(from https://cleaner.gq/cookieclicker/)
18:22:07	11028/11028	---M-Z	200	added ('OK')	application/javascript	etag:%223aba51703109804e27e383057e099676-ssl-df%22	https://cleaner.gq/cookieclicker/dungeons.js?v=1.5026	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/cookieclicker/dungeons8831.js	(from https://cleaner.gq/cookieclicker/)
18:22:07	150749/150749	---M-Z	200	added ('OK')	application/javascript	etag:%222b0befe197bdff500542618622f1fb9b-ssl-df%22	https://cleaner.gq/cookieclicker/main.js?v=1.5031	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/cookieclicker/main70b5.js	(from https://cleaner.gq/cookieclicker/)
18:22:08	1713/1713	---M--	200	added ('OK')	image/gif	etag:%22Sw3k14QhL6e/lFNTqMheH3dkDX5uKpNX6uj4DVwxNFo%22	https://www.paypalobjects.com/en_GB/i/btn/btn_donate_LG.gif	C:/Users/natha/Documents/Schoolist3r/ddddsjc/www.paypalobjects.com/en_GB/i/btn/btn_donate_LG.gif	(from https://cleaner.gq/cookieclicker/)
18:22:08	42/42	---M--	200	added ('OK')	image/gif	etag:%22dNSbNMYiK1Q98dwxkre+GOK5+qX2pefyT9A/BaBsoeM%22	https://www.paypalobjects.com/nl_NL/i/scr/pixel.gif	C:/Users/natha/Documents/Schoolist3r/ddddsjc/www.paypalobjects.com/nl_NL/i/scr/pixel.gif	(from https://cleaner.gq/cookieclicker/)
18:22:09	194/194	---M--	200	added ('OK')	image/png	date:Tue,%2003%20Mar%202020%2020:15:00%20GMT	https://ssl.gstatic.com/docs/doclist/images/mediatype/icon_1_document_x16.png	C:/Users/natha/Documents/Schoolist3r/ddddsjc/ssl.gstatic.com/docs/doclist/images/mediatype/icon_1_document_x16.png	(from https://cleaner.gq/cc)
18:22:09	1259/1259	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Nov%202020%2000:22:09%20GMT	https://cleaner.gq/Index.html	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/Index-2.html	(from https://cleaner.gq/cc)
18:22:10	2335/2335	---M--	200	added ('OK')	image/png	etag:%224e17b28edc6b1e5fe81417c2ed184430-ssl%22	https://cleaner.gq/tower_game-master/assets/main-bg.png	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/tower_game-master/assets/main-bg.png	(from https://cleaner.gq/tower_game-master/)
18:22:10	8646/8646	---MCZ	200	added ('OK')	application/octet-stream	etag:%2286da9c84b0db90bcbba4a6b3a8477dc9-ssl-df%22	https://cleaner.gq/tower_game-master/assets/wenxue.eot	C:/Users/natha/Documents/Schoolist3r/ddddsjc/cleaner.gq/tower_game-master/assets/wenxue.eot	(from https://cleaner.gq/tower_game-master/)
